vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_0105500	5	8	8	4
PF3D7_1329000	181	104	140	180
PF3D7_API00700	0	0	0	0
PF3D7_1467800	71	102	149	155
PF3D7_0601200	15	7	21	7
PF3D7_1100300	0	0	1	0
PF3D7_0626700	493	373	270	336
PF3D7_0628900	54	39	68	61
PF3D7_0424900	2	1	9	10
PF3D7_0502600	51	32	46	52
PF3D7_1141300	220	194	201	230
PF3D7_0900100	58	33	15	29
PF3D7_1434000	230	256	194	186
PF3D7_1134000	2347	1429	1589	1789
PF3D7_1029500	1	3	0	0
PF3D7_1212600	69	100	106	99
PF3D7_0606200	158	193	227	195
PF3D7_0300500	2	0	12	19
PF3D7_1452900	87	72	29	47
PF3D7_1439500	53	48	42	44
PF3D7_1205300	81	153	108	128
PF3D7_0901000	0	0	0	0
PF3D7_0311100	100	92	132	161
PF3D7_1040300	0	0	1	1
PF3D7_0819500	57	34	155	151
PF3D7_0929600	22	34	24	23
PF3D7_0925300	173	133	99	162
PF3D7_0804600	97	92	55	82
PF3D7_0732800	1	0	7	2
PF3D7_1422800	116	103	232	259
PF3D7_1444800	9963	7711	5701	6080
PF3D7_1453200	23	23	48	48
PF3D7_0108600	178	185	153	163
PF3D7_1428400	11	31	84	114
PF3D7_0824000	16	21	49	95
PF3D7_0711900	0	1	0	0
PF3D7_1304900	186	239	209	223
PF3D7_0803100	197	182	243	372
PF3D7_0520500	111	125	112	120
PF3D7_0528400	119	189	76	74
PF3D7_1114600	16	19	6	11
PF3D7_0937700	0	0	1	1
PF3D7_0923500	76	73	168	200
PF3D7_1318000	89	83	79	58
PF3D7_0513400	98	95	67	74
PF3D7_0708700	250	266	524	527
PF3D7_1357100	4403	3661	1926	1943
PF3D7_1022200	230	256	129	135
PF3D7_1016600	98	93	239	256
PF3D7_0832900	0	0	0	1
PF3D7_0503100	110	73	81	124
PF3D7_0827700	7	9	1	2
PF3D7_1340700	135	234	353	401
PF3D7_0312700	0	0	0	0
PF3D7_1319500	17	29	20	23
PF3D7_1210700	108	107	97	102
PF3D7_0704900	87	70	61	73
PF3D7_1000900	0	0	0	0
PF3D7_0409400	362	224	171	280
PF3D7_1104900	49	58	48	86
PF3D7_1244900	69	63	71	87
PF3D7_0401300	0	1	0	1
PF3D7_0222400	0	0	0	0
PF3D7_1228500	147	143	101	102
PF3D7_1306200	182	224	253	293
PF3D7_1228200	35	18	36	57
PF3D7_0115700	0	0	1	0
PF3D7_0904900	735	591	537	657
PF3D7_1102400	115	125	123	152
PF3D7_0219000	0	0	0	0
PF3D7_1236000	168	164	106	132
PF3D7_0716400	255	217	217	240
PF3D7_1144300	484	550	262	268
PF3D7_0525500	32	28	19	24
PF3D7_1120400	73	100	103	106
PF3D7_1113900	2	7	2	5
PF3D7_1443400	449	513	438	513
PF3D7_1369500	201	122	87	103
PF3D7_1237900	217	151	212	298
PF3D7_1127700	1	6	6	12
PF3D7_1336000	132	168	142	203
PF3D7_0110000	89	131	151	127
PF3D7_1340100	59	104	106	109
PF3D7_0617000	62	72	121	164
PF3D7_1023300	59	44	32	29
PF3D7_0630900	100	81	70	96
PF3D7_0317700	461	393	330	371
PF3D7_0826800	0	0	0	0
PF3D7_0934900	34	114	54	48
PF3D7_1351500	0	0	0	0
PF3D7_0716900	381	544	182	194
PF3D7_0701000	1	0	0	0
PF3D7_1119500	135	206	102	119
PF3D7_0421800	2	0	5	4
PF3D7_0410000	91	53	268	346
PF3D7_0619800	114	70	80	103
PF3D7_1462500	2	0	1	1
PF3D7_1249700	3	1	29	47
PF3D7_1139900	53	57	58	73
PF3D7_1346600	81	58	12	16
PF3D7_1215700	0	0	0	0
PF3D7_0112900	9	5	11	11
PF3D7_1107000	154	218	278	291
PF3D7_0927900	408	604	502	508
PF3D7_1128300	32	54	14	31
PF3D7_1250700	300	290	216	242
PF3D7_1427000	50	52	39	45
PF3D7_1224800	63	67	122	158
PF3D7_1132800	804	902	722	687
PF3D7_0924600	41	42	44	41
PF3D7_0916600	27	17	12	16
PF3D7_1251800	68	81	95	102
PF3D7_0304300	23	26	30	56
PF3D7_1147400	65	94	68	57
PF3D7_0307300	0	4	3	1
PF3D7_1246600	74	67	135	194
PF3D7_0909300	243	377	236	268
PF3D7_0714500	127	123	131	142
PF3D7_1233000	136	154	86	117
PF3D7_1356200	102	120	93	114
PF3D7_1440700	267	277	261	248
PF3D7_1147800	23	28	40	69
PF3D7_1253900	0	0	0	0
PF3D7_0718500	404	411	349	381
PF3D7_1114500	32	35	37	39
PF3D7_1365100	55	98	111	114
PF3D7_1248200	152	224	210	300
PF3D7_0302600	100	96	47	71
PF3D7_0812900	5	17	6	3
PF3D7_1404100	253	234	135	142
PF3D7_0935600	0	0	0	0
PF3D7_1141700	169	163	153	218
PF3D7_1419500	27	42	22	21
PF3D7_1237700	1271	1632	902	979
malmito_rna_25	0	0	0	0
PF3D7_1244600	198	217	296	316
PF3D7_0922200	15971	20838	13345	13401
PF3D7_1133400	246	235	1157	1236
PF3D7_1315200	45	29	64	83
mal_rna_10	3	2	0	1
PF3D7_1466400	313	298	662	739
PF3D7_1107600	0	0	3	2
PF3D7_1474200	33	5	11	22
PF3D7_0825800	5	2	5	8
PF3D7_0805900	21	30	62	53
PF3D7_1225800	1263	1176	991	1094
PF3D7_1473500	113	144	205	293
PF3D7_1463100	0	0	1	0
PF3D7_1131700	1	3	1	5
PF3D7_1360300	15	9	5	12
PF3D7_1479500	7	10	14	14
PF3D7_0421100	0	0	0	0
PF3D7_0222000	0	0	0	0
PF3D7_0519000	50	48	48	75
PF3D7_0512800	40	30	24	28
PF3D7_0705600	34	21	21	32
PF3D7_0901500	0	0	0	0
PF3D7_1346800	0	2	2	4
PF3D7_0527300	351	434	229	296
PF3D7_1475000	0	0	0	0
PF3D7_1370200	0	0	0	0
PF3D7_0408900	306	231	198	280
PF3D7_1038200	12	26	18	24
PF3D7_1026800	5794	5142	3982	3960
PF3D7_1149600	9	5	97	134
PF3D7_1110700	188	374	365	316
PF3D7_1214200	23	19	9	12
PF3D7_0615200	21	14	6	12
PF3D7_1458500	101	94	167	174
PF3D7_1008900	1077	1215	858	834
PF3D7_1253000	63	19	29	39
PF3D7_1150300	0	0	0	0
malmito_rna_9	0	0	0	1
PF3D7_1034200	14	37	96	68
PF3D7_0314700	27	19	112	167
PF3D7_0909200	2	4	2	3
PF3D7_1330300	267	381	225	256
PF3D7_0906300	42	49	29	30
PF3D7_0200200	1	0	0	0
PF3D7_0514800	28	32	40	48
PF3D7_1304300	16	30	13	10
PF3D7_1311900	207	301	373	376
PF3D7_0101700	0	0	0	0
PF3D7_0319800	2	3	7	5
PF3D7_0716500	274	343	213	225
PF3D7_1331800	1627	1867	869	853
PF3D7_1446800	164	203	107	111
PF3D7_1329100	401	275	426	529
PF3D7_1222100	148	127	104	128
PF3D7_1037200	10	8	9	14
PF3D7_0804400	154	204	133	154
PF3D7_1001600	1322	1210	1450	1858
PF3D7_0311800	364	468	413	501
PF3D7_1200400	4	1	2	3
PF3D7_0808900	109	57	88	134
PF3D7_0302400	0	0	0	0
PF3D7_1449700	36	35	36	58
PF3D7_0511600	12	19	29	27
PF3D7_0627300	922	1212	1093	1043
PF3D7_1018000	104	182	72	99
PF3D7_1309000	189	132	164	187
PF3D7_1357700	123	74	81	97
PF3D7_1465900	2567	2523	933	1097
PF3D7_1148640	0	1	0	0
PF3D7_0114000	11	10	299	368
PF3D7_1031300	11	22	75	87
PF3D7_0103900	159	162	139	178
PF3D7_1129500	149	107	139	211
PF3D7_1479000	1	0	7	10
PF3D7_0600300	2	0	15	22
PF3D7_1030700	58	47	37	49
PF3D7_0404600	253	93	397	454
PF3D7_0819100	78	107	80	86
PF3D7_0718600	27	32	27	34
PF3D7_1463600	5	2	0	0
PF3D7_0217000	94	169	61	46
PF3D7_1306700	52	29	19	32
PF3D7_0101400	0	0	0	0
PF3D7_0711600	0	0	0	0
PF3D7_0823000	49	29	47	55
PF3D7_1016200	80	49	29	42
PF3D7_0913700	344	349	274	297
PF3D7_1416500	27	48	49	46
PF3D7_1116700	1270	1147	1743	1963
PF3D7_0519300	245	331	467	435
PF3D7_1233200	18	18	117	134
PF3D7_1108600	4727	5314	3943	4436
PF3D7_0316000	9	18	35	36
PF3D7_1013900	178	160	205	248
PF3D7_0217600	194	156	237	277
PF3D7_0215800	107	125	261	258
PF3D7_1117500	133	90	41	42
PF3D7_0628500	24	26	18	22
PF3D7_0109100	36	60	25	17
PF3D7_0903900	1702	2034	695	832
PF3D7_1325800	22	14	43	64
PF3D7_1341600	78	154	40	46
PF3D7_1224600	74	67	59	65
PF3D7_1004800	175	240	162	194
PF3D7_0704100	152	99	86	90
PF3D7_1210600	348	304	195	241
PF3D7_0533100	8	1	16	19
PF3D7_0903200	1681	2176	1476	1634
PF3D7_1406500	8	4	2	6
PF3D7_1035500	89	49	169	227
PF3D7_1450500	25	26	74	94
PF3D7_1232300	83	92	83	90
PF3D7_0302200	341	377	113	142
PF3D7_0205500	174	206	175	158
PF3D7_0513500	51	74	46	53
PF3D7_0810600	1607	1384	1357	1534
PF3D7_1346500	49	46	32	35
PF3D7_0612800	19	55	27	20
PF3D7_1368500	18	19	9	12
PF3D7_1419200	240	174	93	133
PF3D7_0518900	1	6	6	10
PF3D7_0510000	30	57	45	37
PF3D7_1438400	78	36	77	99
PF3D7_1218200	117	92	90	114
PF3D7_0908300	329	481	339	327
PF3D7_0315500	126	171	245	267
PF3D7_1017400	149	208	333	364
PF3D7_1439000	422	590	313	370
PF3D7_0320000	375	544	400	421
PF3D7_0909000	6	3	3	1
PF3D7_0732100	0	0	0	0
PF3D7_1226200	1	1	1	3
PF3D7_1021700	192	127	194	257
PF3D7_1460100	7	12	36	42
PF3D7_1203300	39	56	54	63
PF3D7_1121300	146	125	176	204
PF3D7_1117700	4537	5258	5778	5900
PF3D7_1112200	41	53	27	26
PF3D7_0808800	263	190	1006	1096
PF3D7_0413100	0	0	0	0
PF3D7_1145700	53	56	39	44
PF3D7_0203000	71	75	71	86
PF3D7_API01600	0	0	0	0
PF3D7_1316900	150	174	117	183
PF3D7_0605300	205	273	249	259
PF3D7_0937600	0	0	0	0
PF3D7_1249800	238	140	137	155
PF3D7_1201000	571	389	1013	1204
PF3D7_0814600	8	9	5	3
PF3D7_1431000	183	229	205	217
PF3D7_0718100	116	75	57	65
PF3D7_0629400	329	211	297	384
PF3D7_1430500	0	4	1	5
PF3D7_1327400	185	165	96	87
PF3D7_1207800	10	17	65	94
PF3D7_0625700	115	75	31	44
PF3D7_0926000	134	149	121	175
PF3D7_0312900	5	52	26	30
PF3D7_0816800	7	13	7	3
PF3D7_1214500	15	21	14	12
PF3D7_1035600	34	40	71	110
PF3D7_0301000	0	0	5	3
PF3D7_1416600	4	1	15	21
PF3D7_0730800	106	21	740	907
PF3D7_1463700	86	94	89	108
PF3D7_0832500	2	1	2	0
PF3D7_1318200	14	57	4	8
PF3D7_0219200	1159	1350	558	583
PF3D7_1234800	714	668	563	678
PF3D7_1455900	130	110	109	92
PF3D7_0930000	8	3	3	3
PF3D7_1321900	201	215	516	599
PF3D7_1229500	1353	1166	838	842
PF3D7_1457300	793	576	433	500
PF3D7_0828700	6	10	5	5
PF3D7_0616900	105	96	93	118
PF3D7_0721600	3471	3638	1786	2052
PF3D7_0405000	96	60	85	103
PF3D7_1006000	0	6	4	5
PF3D7_0420100	278	223	266	345
PF3D7_1453900	80	80	107	156
PF3D7_0733000	34	16	17	14
PF3D7_0207200	24	29	27	18
PF3D7_1208400	42	35	37	38
PF3D7_0722900	14	17	10	6
PF3D7_0602700	3	2	2	5
PF3D7_0624800	3	5	3	0
PF3D7_0611600	117	144	103	115
PF3D7_1005100	46	27	45	45
PF3D7_1012600	407	427	253	310
PF3D7_1402100	56	52	26	33
PF3D7_0221200	78	51	87	68
PF3D7_1006200	952	1144	736	736
PF3D7_0500200	0	0	0	0
PF3D7_0313200	141	127	110	121
PF3D7_0701800	0	0	0	0
PF3D7_1415300	277	352	487	539
PF3D7_1476800	41	58	171	201
PF3D7_0103300	112	119	141	176
PF3D7_0624300	9	24	11	9
PF3D7_0713900	220	120	162	160
PF3D7_1013300	56	75	27	23
mal_rna_13	0	1	0	0
PF3D7_1230100	9	13	21	22
PF3D7_1022700	75	127	30	45
PF3D7_1027500	32	51	23	13
PF3D7_1460400	224	363	90	112
PF3D7_0314800	8	5	3	18
PF3D7_1202600	521	286	455	520
PF3D7_1348100	61	43	46	40
PF3D7_0302800	51	56	27	37
PF3D7_0930500	131	140	118	169
PF3D7_0200400	0	0	0	0
PF3D7_1101800	0	0	0	0
PF3D7_1021600	244	206	187	173
PF3D7_1426200	703	529	306	444
PF3D7_0411600	1	0	0	0
PF3D7_0605500	39	44	35	58
PF3D7_0828400	105	86	71	74
PF3D7_0801800	622	414	654	919
PF3D7_0518000	85	122	141	164
PF3D7_0731400	187	212	222	287
PF3D7_0608800	403	450	552	683
PF3D7_0609700	66	51	169	230
PF3D7_0911700	103	61	129	122
PF3D7_1429800	519	398	364	433
PF3D7_0320200	10	16	15	15
PF3D7_0705300	131	172	146	173
PF3D7_0730400	36	50	50	53
PF3D7_1101700	8	2	19	26
PF3D7_1478200	0	0	1	0
PF3D7_0315800	131	109	161	158
PF3D7_1148500	0	0	2	3
PF3D7_1232600	69	67	45	47
PF3D7_0510800	2	1	0	0
PF3D7_1417200	248	175	430	540
PF3D7_1016100	1	2	0	2
PF3D7_1125600	64	92	68	67
PF3D7_1404000	43	52	32	40
PF3D7_1319100	44	72	84	102
PF3D7_0731000	2	5	8	14
PF3D7_0506500	286	181	354	403
PF3D7_0926200	13	21	21	23
PF3D7_0803500	87	100	86	143
PF3D7_0931400	342	290	408	376
PF3D7_1311200	158	145	136	126
PF3D7_0220500	22	12	90	138
PF3D7_0421600	1	0	2	1
PF3D7_0207800	427	272	448	477
PF3D7_1148800	24	10	41	66
PF3D7_1474900	165	109	213	240
PF3D7_0910800	249	268	231	249
PF3D7_1006500	76	80	37	38
PF3D7_0201100	0	0	0	0
PF3D7_1213000	0	0	0	0
PF3D7_0100500	2	1	0	0
PF3D7_0401200	0	0	1	1
PF3D7_0525900	3	3	1	3
PF3D7_0700200	1	0	0	0
PF3D7_0421300	8	8	4	3
PF3D7_1240600	0	0	0	0
PF3D7_1211400	1083	1138	1116	1097
PF3D7_1403300	7	6	2	2
PF3D7_1026900	15	7	9	14
PF3D7_1440000	75	81	63	76
PF3D7_0211200	119	155	74	61
PF3D7_0513800	169	214	143	158
PF3D7_0831100	0	0	3	6
PF3D7_0420600	76	44	43	45
PF3D7_1441600	33	29	40	44
PF3D7_0523600	116	156	165	139
PF3D7_1201800	31	26	33	38
PF3D7_1309120	0	0	0	0
PF3D7_0601000	0	0	0	0
PF3D7_0204200	344	590	421	460
PF3D7_1013800	52	101	71	76
PF3D7_1476000	24	21	40	48
PF3D7_1453100	16	15	30	26
PF3D7_0106100	197	201	225	222
PF3D7_1477700	0	0	0	0
PF3D7_0728700	32	29	62	74
PF3D7_1147900	190	270	77	104
PF3D7_0323200	64	48	41	46
PF3D7_0616300	40	50	19	25
PF3D7_API01500	0	0	0	0
malmito_rna_RNA4	1	1	0	1
PF3D7_0727600	27	22	25	26
PF3D7_0422100	305	240	152	223
PF3D7_1208700	120	133	119	142
PF3D7_0908400	141	170	113	105
PF3D7_1028000	158	155	205	239
malmito_rna_16	0	0	0	0
PF3D7_0307800	260	395	314	339
PF3D7_1204700	149	253	158	164
PF3D7_0801900	112	97	301	361
PF3D7_1023000	30	39	16	20
PF3D7_0701100	1	0	2	1
PF3D7_0406100	1606	1701	1268	1406
PF3D7_1149000	315	105	607	923
PF3D7_1204900	20	44	40	57
PF3D7_1405600	1241	1451	854	910
PF3D7_0813200	284	290	289	312
PF3D7_1366300	194	130	164	228
PF3D7_0319700	117	38	81	121
PF3D7_0306800	488	435	297	326
PF3D7_1021200	134	129	141	136
PF3D7_1348900	39	70	86	89
PF3D7_0801600	22	15	8	8
PF3D7_0623100	1090	1063	1035	1237
PF3D7_0911600	73	76	103	150
PF3D7_0714600	122	130	181	295
PF3D7_1449800	101	131	114	116
PF3D7_1452400	178	112	207	256
PF3D7_1250400	10	5	14	16
PF3D7_0803900	1	3	1	0
PF3D7_1139100	81	61	134	151
PF3D7_1123200	26	36	45	53
PF3D7_1464700	181	200	248	297
PF3D7_0303100	60	31	77	106
PF3D7_1472300	101	94	38	54
PF3D7_1139000	3	1	1	1
PF3D7_1370300	40	14	261	334
PF3D7_0706100	98	101	104	120
PF3D7_1100900	0	0	0	0
PF3D7_0814200	7042	5804	8028	9409
PF3D7_1029100	62	54	72	90
PF3D7_0413700	779	1067	560	683
PF3D7_0810900	67	75	88	89
PF3D7_1365600	93	105	99	80
PF3D7_1110600	310	435	282	314
PF3D7_1409800	29	27	97	103
PF3D7_0501800	619	639	604	786
PF3D7_1208600	85	114	109	104
PF3D7_1031800	164	200	168	211
PF3D7_0530100	120	188	220	233
PF3D7_API01200	0	0	0	0
PF3D7_1316000	6	5	0	4
PF3D7_1426300	36	39	51	53
PF3D7_0606700	624	539	494	624
PF3D7_1230600	263	213	261	256
PF3D7_1119600	260	269	338	357
PF3D7_0921400	61	71	82	112
PF3D7_1363000	16	17	23	36
PF3D7_0508400	36	60	19	24
PF3D7_0712700	0	0	0	0
PF3D7_1368300	65	90	100	109
PF3D7_1368400	227	339	367	408
PF3D7_0613100	86	124	85	101
PF3D7_API04000	0	0	0	0
PF3D7_0400100	3	2	1	6
PF3D7_0719900	282	121	110	114
PF3D7_API06300	0	0	0	0
PF3D7_0632300	0	0	1	0
PF3D7_0824400	453	351	230	251
PF3D7_1339200	0	0	0	0
PF3D7_1144200	3	7	20	21
PF3D7_1116800	302	265	1049	1228
PF3D7_0706600	15	8	2	9
PF3D7_0721400	446	509	314	377
PF3D7_1017000	523	623	413	504
PF3D7_1322700	15	6	24	31
PF3D7_1366800	199	245	384	390
PF3D7_1335900	4	6	6	3
PF3D7_1101900	0	0	1	1
PF3D7_1243500	149	198	249	262
PF3D7_1254800	0	0	1	0
PF3D7_0504500	13	25	9	6
PF3D7_1301700	117	137	320	405
PF3D7_1109600	0	0	0	0
PF3D7_1446300	62	47	59	78
PF3D7_1148100	5	3	1	0
PF3D7_0409800	339	441	318	375
PF3D7_0510900	1	5	0	1
PF3D7_0804200	0	0	0	0
PF3D7_1233700	50	78	35	34
PF3D7_1238300	248	239	333	408
PF3D7_1108400	1422	1621	907	852
PF3D7_1122600	8	6	1	2
PF3D7_0807400	39	59	21	27
PF3D7_0419000	25	30	23	22
PF3D7_1136200	182	252	160	145
PF3D7_1372600	452	302	185	210
PF3D7_1467700	78	78	103	113
PF3D7_0604900	78	123	68	74
PF3D7_0818400	263	402	274	366
PF3D7_1350700	96	115	119	139
PF3D7_0510700	0	0	1	0
PF3D7_0509600	340	441	312	350
PF3D7_1430000	77	77	70	74
PF3D7_1409500	13	11	19	26
PF3D7_1034400	291	325	654	613
PF3D7_0314300	11	8	5	2
PF3D7_1003400	31	47	19	29
PF3D7_1116300	224	187	277	328
PF3D7_0615800	161	156	129	173
PF3D7_0218900	3	1	2	0
PF3D7_0805400	113	116	70	87
PF3D7_1313400	63	46	49	74
PF3D7_0930900	19	12	7	2
PF3D7_0600200	1	1	1	2
PF3D7_1034000	80	119	133	143
PF3D7_1470300	5	10	15	14
PF3D7_1364200	115	82	58	95
PF3D7_0927300	282	350	341	363
PF3D7_1437100	56	57	73	65
PF3D7_0212700	64	69	95	106
PF3D7_0304400	1808	2313	875	925
PF3D7_1233400	113	156	150	178
PF3D7_0630300	223	137	147	164
PF3D7_0407200	59	95	103	89
PF3D7_0207700	995	665	1452	1405
PF3D7_1117300	43	43	40	36
PF3D7_1211000	20	22	39	58
PF3D7_1413200	11	21	24	19
PF3D7_1007000	459	519	332	353
PF3D7_0915600	33	22	19	40
PF3D7_1011100	33	37	19	19
PF3D7_0900800	0	0	0	2
PF3D7_0321100	46	39	133	129
PF3D7_1457800	19	33	18	17
PF3D7_0107500	1273	1158	1315	1515
PF3D7_0514600	210	311	327	415
PF3D7_0819900	123	203	128	122
PF3D7_1456200	39	24	10	24
PF3D7_1454100	92	151	48	46
PF3D7_1106900	25	19	12	20
PF3D7_1111400	143	157	82	83
PF3D7_0608600	64	49	35	36
PF3D7_0813800	23	47	48	52
PF3D7_1418600	1	0	0	0
PF3D7_0819300	10	5	6	7
PF3D7_0109400	185	179	127	118
PF3D7_0920500	137	173	177	193
PF3D7_0933500	113	75	94	93
PF3D7_0908600	57	68	73	83
PF3D7_0518100	90	98	130	148
PF3D7_1235500	178	187	163	194
PF3D7_1006600	163	141	122	90
PF3D7_0504300	20	30	16	17
PF3D7_0532600	12	2	115	185
PF3D7_1024400	12	9	14	10
PF3D7_1472800	275	263	313	367
PF3D7_1003900	7	7	0	2
PF3D7_0906500	244	221	359	389
PF3D7_1317600	174	175	108	151
PF3D7_1438200	2	8	0	0
PF3D7_0407000	37	22	31	37
PF3D7_1246400	357	532	722	738
PF3D7_1326500	36	22	29	33
PF3D7_1020800	57	55	132	138
PF3D7_1242000	68	63	83	78
PF3D7_1336200	170	126	189	259
PF3D7_0630200	2	3	4	5
PF3D7_0707200	102	79	75	74
PF3D7_0500500	1	1	1	2
PF3D7_0728100	79	78	62	93
PF3D7_0911800	90	68	44	41
PF3D7_0405200	195	288	111	138
PF3D7_0602100	165	101	316	437
PF3D7_1347400	46	71	72	79
PF3D7_1475200	63	51	20	32
PF3D7_1245100	50	58	57	86
PF3D7_0316800	1745	2152	1328	1383
PF3D7_1008600	3	3	4	3
PF3D7_0216600	191	211	352	341
PF3D7_1017500	22	36	91	107
PF3D7_0918000	2005	3134	2215	1990
PF3D7_1402900	16	24	28	32
PF3D7_0718700	61	67	9	15
PF3D7_1253500	0	0	0	0
PF3D7_1130700	197	189	158	199
PF3D7_1038500	27	20	20	18
PF3D7_1310300	27	29	31	38
PF3D7_1150200	0	0	0	0
PF3D7_0311300	333	462	841	843
PF3D7_0502100	59	65	19	19
PF3D7_1425200	86	87	60	47
PF3D7_1024000	200	265	164	189
PF3D7_1033300	287	310	155	141
PF3D7_1304500	547	437	270	378
PF3D7_0316200	236	175	114	140
PF3D7_1316600	368	351	377	468
PF3D7_0704000	75	36	36	45
PF3D7_0723300	102	135	205	265
PF3D7_0817800	120	189	66	76
PF3D7_1223800	194	455	415	419
PF3D7_0903000	108	163	130	133
PF3D7_0207100	162	204	258	287
PF3D7_1425700	125	93	213	291
PF3D7_1468600	2	10	3	10
PF3D7_1238200	0	0	0	0
PF3D7_1402000	177	162	102	145
PF3D7_0909700	42	48	154	194
PF3D7_1345300	67	79	28	42
PF3D7_1237500	167	112	192	243
PF3D7_0904600	273	204	250	307
PF3D7_0317500	68	49	84	85
PF3D7_1002300	20	10	4	9
PF3D7_0716800	1010	1129	936	996
PF3D7_0702300	3	6	24	43
PF3D7_0822500	8	8	1	4
PF3D7_1430200	150	208	236	224
PF3D7_1240200	0	0	0	0
PF3D7_1222600	0	0	1	1
PF3D7_0803800	1182	1351	1092	985
PF3D7_1438700	558	591	408	441
PF3D7_1367800	2	0	2	1
PF3D7_0423400	77	64	72	43
PF3D7_1244300	12	19	8	7
PF3D7_1337100	127	69	95	104
PF3D7_1355200	3	0	2	3
PF3D7_1221000	135	89	284	377
PF3D7_0312800	1400	1737	751	749
PF3D7_0809000	0	0	0	0
PF3D7_1477600	0	2	4	13
PF3D7_0102000	0	1	0	0
PF3D7_0909800	157	235	119	158
PF3D7_1352300	19	37	13	9
PF3D7_0208100	633	590	626	752
PF3D7_0710100	125	147	76	91
PF3D7_0607900	70	40	47	47
PF3D7_1226900	120	199	216	221
PF3D7_0102400	23	42	47	56
PF3D7_1241700	557	641	494	557
PF3D7_0509800	71	81	118	159
PF3D7_1429900	91	62	77	102
PF3D7_0410800	330	334	378	393
PF3D7_0219900	12	10	56	67
PF3D7_1132300	364	274	168	205
PF3D7_0922600	661	606	633	633
PF3D7_0424000	86	59	156	193
PF3D7_0211300	51	55	54	46
PF3D7_1143800	46	42	222	306
PF3D7_1129600	11	26	19	27
PF3D7_0206700	360	567	300	290
PF3D7_0713000	1	0	0	0
PF3D7_0107700	16	11	3	5
PF3D7_1250800	367	280	395	478
PF3D7_0802500	120	91	154	177
PF3D7_1466900	56	54	78	87
PF3D7_1436200	37	29	19	22
PF3D7_0322600	3	2	3	1
malmito_rna_RNA7	13	19	11	5
PF3D7_1218900	47	34	56	66
PF3D7_0613200	75	111	60	58
PF3D7_1348200	56	73	50	56
PF3D7_0518700	10	4	15	31
PF3D7_0823100	112	106	57	60
PF3D7_1114200	78	106	213	251
PF3D7_1219200	25	45	34	33
PF3D7_1467100	42	14	18	23
PF3D7_0901300	2	0	1	1
PF3D7_1039600	0	0	0	0
PF3D7_0407400	98	80	46	60
PF3D7_0509300	57	84	63	70
PF3D7_1430700	200	240	306	366
PF3D7_1206800	61	51	56	67
PF3D7_1459200	60	50	77	122
PF3D7_1420700	953	851	1094	1521
PF3D7_0522800	123	130	169	194
PF3D7_1419400	90	73	68	78
PF3D7_1435600	26	30	28	35
PF3D7_1305100	167	127	117	150
PF3D7_1403200	1	7	4	3
PF3D7_1344800	525	481	345	427
PF3D7_1017300	107	116	125	165
PF3D7_0831000	3	1	10	22
PF3D7_0820800	45	61	45	58
PF3D7_1137500	186	259	243	269
PF3D7_0408000	6	11	29	31
PF3D7_1028600	175	210	223	227
PF3D7_0933600	674	940	821	795
PF3D7_0707420	0	0	0	0
PF3D7_0423500	314	431	876	859
PF3D7_0932500	83	97	104	105
PF3D7_0628200	626	512	588	732
PF3D7_0403500	96	104	58	85
PF3D7_0823400	3	6	10	8
PF3D7_0720600	401	309	220	241
PF3D7_0618400	8	7	2	1
PF3D7_1301900	2	3	2	3
PF3D7_1412200	38	72	58	73
PF3D7_0711300	51	67	82	75
PF3D7_1313200	13	14	3	3
PF3D7_0825300	52	61	46	32
PF3D7_0609200	16	16	14	13
PF3D7_1025400	140	144	101	106
PF3D7_0314600	42	43	40	69
PF3D7_1237400	172	131	244	248
PF3D7_1463800	15	24	18	24
PF3D7_1149400	158	86	377	456
PF3D7_0827000	315	302	254	260
PF3D7_1140100	204	285	211	238
PF3D7_0830800	8	3	15	28
PF3D7_1367400	46	28	44	67
PF3D7_0215200	10	22	27	46
PF3D7_1223600	119	52	51	61
PF3D7_1468100	1506	957	1409	1713
PF3D7_1312800	67	54	128	144
PF3D7_1039200	0	1	0	0
PF3D7_1425100	2	3	0	1
PF3D7_1369000	170	113	61	78
PF3D7_0515400	24	25	15	10
PF3D7_1444200	5	6	19	34
PF3D7_0412800	0	0	0	0
PF3D7_0505400	88	87	113	132
PF3D7_0533000	3	0	5	14
PF3D7_0312100	248	396	265	299
PF3D7_1136700	68	63	49	58
PF3D7_0528600	30	47	25	27
PF3D7_1204000	2	0	1	0
PF3D7_1423200	178	194	202	258
PF3D7_0532000	316	97	410	328
PF3D7_0820600	79	103	57	48
PF3D7_0724700	216	161	157	207
PF3D7_1135200	3	3	2	4
PF3D7_0522300	143	164	286	316
PF3D7_1446600	444	651	473	474
PF3D7_0310000	92	139	177	167
PF3D7_0925500	81	79	92	105
PF3D7_1002100	83	61	348	366
PF3D7_1343500	177	270	245	270
PF3D7_0509400	222	95	212	296
PF3D7_1405900	116	85	115	189
PF3D7_API05400	0	0	0	0
PF3D7_0414600	151	247	238	227
PF3D7_0105200	146	107	80	90
PF3D7_0304700	8	10	25	41
PF3D7_1228100	82	94	82	65
PF3D7_0932100	246	177	304	316
PF3D7_1011700	274	198	245	339
PF3D7_0203800	85	77	23	39
PF3D7_1007600	183	153	136	152
